,Lugar,Latitud,Longitud
0,24 de Abril,18.5048874,-69.89447899999999
1,27 de Febrero,18.4641933,-69.93327889999999
2,30 de Mayo,18.4421858,-69.9379118
3,Agua Dulce,18.5016601,-69.8831929
4,Altos de Arroyo Hondo I,18.5037627,-69.9505672
5,Altos de Arroyo Hondo II,18.5037627,-69.9505672
6,Altos de Arroyo Hondo III,18.5053974,-69.96545569999999
7,Antillas,18.4860575,-69.93121169999999
8,Arboleda (naco),18.4753583,-69.9267942
9,Arroyo Manzano,18.5209692,-69.962695
10,Atala,18.4454466,-69.941831
11,Barrio Obrero,18.4334764,-66.0478404
12,Bella Vista,18.4568568,-69.9405513
13,Borojol,18.4830227,-69.8843096
14,Buena Vista,18.5265173,-69.899944
15,Cachiman,18.4774178,-69.9000006
16,Capotillo,18.5070198,-69.9029219
17,Carmelita,18.4803116,-69.94982279999999
18,Carmen Amelia,18.4860575,-69.93121169999999
19,Castellana,18.4696346,-69.95577829999999
20,Centro de Los Heroes,18.4487459,-69.9261259
21,Centro Olimpico,18.4782775,-69.9168164
22,Cerros de Arroyo Hondo,18.5102535,-69.9437265
23,Cerros de Arroyo Hondo III,18.5003848,-69.9714111
24,Ciudad Gandera,18.4370665,-69.94198399999999
25,Ciudad Moderna,18.4679442,-69.9662002
26,Ciudad Nueva,18.4682679,-69.8917546
27,Ciudad Universitaria,18.4612631,-69.9169933
28,Colinas de Arroyo Hondo,18.5074717,-69.9343756
29,Colinas del Seminario,18.4951821,-69.9691778
30,Constelacion,18.4864253,-69.9635947
31,Costa Brava,18.4450595,-69.9286061
32,Cristo Rey,18.501375,-69.92219709999999
33,Cuesta Brava,18.4986683,-69.9751331
34,Cuesta Hermosa,18.5112793,-69.941634
35,Cuesta Hermosa III,18.5112793,-69.941634
36,Domingo Savio,18.4989933,-69.8802767
37,Don Bosco,18.4779097,-69.9021774
38,Don Honorio,18.493655,-69.9810883
39,El Cacique,18.4423343,-69.9332792
40,El Caliche,18.4858966,-69.97210059999999
41,El Condado,18.4964195,-69.9836937
42,El Embajador,18.4549031,-69.93350389999999
43,El Ensanchito,18.4938132,-69.9051554
44,El Manguito,18.4578851,-69.92935059999999
45,El Millon,18.4597418,-69.9573532
46,El Pino,18.4902017,-69.9835076
47,El Portal,18.4442413,-69.9405173
48,El Vergel,18.473719,-69.915578
49,Encarnacion,18.4748627,-69.96471129999999
50,Ensanche Espaillat,18.5033374,-69.8887766
51,Ensanche Independencia,18.4648677,-69.9058998
52,Ensanche Kennedy,18.4841223,-69.9200448
53,Ensanche La Fe,18.4910521,-69.9214028
54,Ensanche La Paz,18.4508185,-69.93270059999999
55,Ensanche Lugo,18.4700113,-69.8947326
56,Ensanche Luperon,18.5006997,-69.89696599999999
57,Ensanche Quisqueya,18.4621045,-69.9458272
58,Esperilla,18.4679616,-69.9224662
59,Estela Marina (los Millones),18.4603212,-69.9483339
60,Evaristo Morales,18.4659592,-69.941634
61,Fundacion,18.5192631,-69.9691778
62,Gazcue,18.470516,-69.89753209999999
63,Gazcue (plaza de La Cultura),18.4701766,-69.9098186
64,Guachupita,18.4987309,-69.8790981
65,Gualey,18.5093463,-69.8882467
66,Hoduras,18.428037,-69.9833215
67,Isabel Villas,18.5150064,-69.9340296
68,Julieta Morales,18.4740871,-69.9470796
69,La Agustina,18.4961725,-69.9276804
70,La Agustinita,18.4961725,-69.9276804
71,La Aldaba,18.4907566,-69.94498399999999
72,La Caridad,18.4550752,-69.9733126
73,La Ceiba,18.4914979,-69.9676779
74,La Cementera,18.473232,-69.930886
75,La Cienaga,18.4954374,-69.8813316
76,La Cuarenta,18.4860575,-69.93121169999999
77,La Esperanza,18.5072455,-69.98808489999999
78,La Fe,18.4910521,-69.9214028
79,La Fuente,18.4860575,-69.93121169999999
80,La Isabela,18.5050758,-69.9835076
81,La Julia,18.4610416,-69.9277577
82,La Meseta,18.5151087,-69.96283679999999
83,La Primavera,18.4670448,-69.899944
84,La Puya,18.5073293,-69.9379118
85,La Yuca,18.4689514,-69.9277686
86,La Zurza,18.5069108,-69.9100201
87,Lanna Gautier,18.4860575,-69.93121169999999
88,Las Colinas,18.4943648,-69.9712184
89,Las Flores,18.4755364,-69.92537759999999
90,Las Villas,18.4861128,-69.9446118
91,Lomas de Arroyo Hondo,18.5062569,-69.9547899
92,Lopez de Vega,18.4756816,-69.9334451
93,Los Arrecifes,18.4313811,-69.9591379
94,Los Arroyos,18.5054591,-69.93851099999999
95,Los Caminos,18.4917502,-69.9379118
96,Los Guandules,18.5015627,-69.8790981
97,Los Guayabos,18.492777,-69.9779246
98,Los Jardines del Norte,18.4842607,-69.95354499999999
99,Los Millones,18.4603212,-69.9483339
100,Los Pinos,18.4902017,-69.9835076
101,Los Praditos,18.4691449,-69.95131169999999
102,Los Prados,18.4717354,-69.95735599999999
103,Los Proceres,18.4817945,-69.96657239999999
104,Los Restauradores,18.4545979,-69.9676813
105,Los Rios,18.4903032,-69.967313
106,Los Robles,18.5111007,-69.9703001
107,Manganagua,18.4522021,-69.96471129999999
108,Manzano,18.5209692,-69.962695
109,Maria Auxiliadora,18.4965555,-69.88505409999999
110,Mata Hambre,18.4545884,-69.9263426
111,Mejoramiento Social,18.4917246,-69.8926575
112,Mirador Norte,18.4524769,-69.9542894
113,Miraflores,18.5006338,-69.9865696
114,Naco,18.4753583,-69.9267942
115,Paraiso,18.4795229,-69.942568
116,Parque Isabela,18.473526,-69.88403319999999
117,Piantini,18.4749526,-69.93557170000001
118,Pista de Motocros La Yuca,18.4689514,-69.9277686
119,Pradera Hermosa,18.4933155,-69.97476089999999
120,Reparto Aguedita (gazcue),18.4705026,-69.8991995
121,Residencial La Yuca,18.4753017,-69.9223329
122,Residencial Rosmil,18.4632661,-69.9671307
123,Rocamar,18.4430015,-69.94535619999999
124,San Carlos,18.4766781,-69.893444
125,San Geronimo,18.4704411,-69.9636642
126,San Lazaro,18.4740804,-69.88989339999999
127,San Martin de Porres,18.4967864,-69.8839374
128,San Miguel,18.436461,-69.9632225
129,Santa Rosa,18.4539814,-69.9589137
130,Sarasota,18.4518243,-69.9483339
131,Simon Bolivar,18.5091959,-69.89696599999999
132,Trueva,18.4860575,-69.93121169999999
133,Urbanización Fernandez,18.4751097,-69.94758949999999
134,Urbanización Las Praderas,18.4654119,-69.9624781
135,Urbanización Puerta de Hierro,18.5350108,-69.9466709
136,Viejo Arroyo Hondo,18.4967427,-69.9397108
137,Villa Claudia,18.5023176,-69.98257710000001
138,Villa Consuelo,18.4848931,-69.8986388
139,Villa Elena,18.4860575,-69.93121169999999
140,Villa Francisca,18.4832823,-69.8884772
141,Villa Juana,18.4896236,-69.90892989999999
142,Villa Maria,18.4559653,-69.92153379999999
143,Villa Marina,18.4825974,-69.9706666
144,Villas Agricolas,18.5002718,-69.9084548
145,Yaquito,18.4690359,-69.8946548
146,Zona Colonial,18.4749025,-69.886493
147,Zona Universitaria,18.4605125,-69.91781139999999
