Lugar,Latitud,Longitud
Altos de Rafey,19.4686061,-70.7276799
Altos de Virella,19.4853407,-70.7204102
La Arboleda,19.422972,-70.6826312
El Área Monumental,19.4520308,-70.6948503
Arroyo Hondo Abajo,19.4264914,-70.69974789999999
Baracoa,19.4580699,-70.70932669999999
Bella Vista,19.4453668,-70.7094127
Buena Vista,19.4757937,-70.6899002
Buenos Aires,19.4867864,-70.70749529999999
Centro de la Ciudad,19.4523747,-70.7009942
Cienfuegos,19.4887995,-70.74602279999999
El Dorado,19.4623271,-70.6630868
Ensanche Bermúdez,19.472235,-70.7172186
Ensanche Bolívar,19.4649922,-70.7064389
Ensanche Libertad,19.4870708,-70.7241901
Ensanche Espaillat,19.4818873,-70.7312613
Gregorio Luperón,19.4812969,-70.69704949999999
Gurabo,19.4904235,-70.6709352
Hato Mayor,19.4293203,-70.6690362
Hoya del Caimito,19.4635648,-70.6675954
Jardines del Este,19.4467898,-70.664061
La Joya,19.4530859,-70.7116872
La Trinitaria,19.4576559,-70.69156989999999
La Yaguita de Pastor,19.4232178,-70.7153601
La Zurza,19.4447306,-70.6909507
Las Antillas,19.4935067,-70.7238089
Las Colinas,19.4822165,-70.7156709
"Los Álamos,↵Los Cerros de Gurabo",19.4319109,-70.6648045
Los Ciruelitos,19.4779623,-70.7074293
Los Jardines Metropolitanos,19.4633562,-70.69156989999999
Los Jazmines,19.4223668,-70.6926605
Los Rieles,19.4768019,-70.66070719999999
Los Salados,19.495461,-70.7242811
Los Santos,19.473772,-70.7011472
Mejoramiento Social,19.4645716,-70.6993762
Monterico,19.4870804,-70.7375989
Nibaje,19.4423304,-70.7012348
Parque Metropolitano de Santiago,19.4664699,-70.6939411
Pekín,19.4241621,-70.6876613
Peralta,19.4387325,-70.7177979
Pontezuela al Medio,19.4693416,-70.6529063
Pueblo Nuevo,19.4608384,-70.705979
Reparto Consuelo,19.4722207,-70.6838818
Reparto del Este,19.4609245,-70.6759569
Reparto Universitario,19.4461313,-70.677944
Rincón Largo,19.4517309,-70.68916899999999
Urbanización Henríquez,19.472604,-70.69475609999999
Urbanización Los Reyes,19.490454,-70.6970758
Villa Olga,19.4529113,-70.67546329999999
Villa Olímpica,19.4298305,-70.6834138
Zona Industrial,19.4726652,-70.7353159
Guarabo Arriba,19.4952639,-70.67075249999999
Guarabo Abajo,19.4854525,-70.6722395
Los Molinos,19.4943817,-70.68859599999999
Los Prados,19.4962081,-70.7116429
Los Salados,19.495461,-70.7242811
El Embrujo II,19.4420728,-70.672983
El Embrujo III,19.4377981,-70.672983
Cerro Hermoso,19.4691468,-70.672983
La Primavera,19.4351347,-70.7038369
Cerro Alto,19.4790568,-70.698261
Bella Vista,19.4453668,-70.7094127
